"StockName","TotalScore","AverageStability","AverageGrowth","DailyStability","WeeklyStability","Growth15Session","Growth30Session","Growth100Session","Growth200Session"
"HBSTOCK.NS","73.97388086773562","82.49321628092578","65.45454545454545","64.80446927374301","94.28571428571429","36.36363636363637","60.0","100.0","0.0"
"ASTRAL.NS","73.95217159605649","74.75619504396482","73.14814814814815","42.44604316546762","96.29629629629629","44.44444444444444","75.0","100.0","0.0"
"NIBL.NS","73.69623655913978","105.7258064516129","41.666666666666664","58.064516129032256","137.5","50.0","75.0","0.0","0.0"
"SAHPETRO.NS","73.69047619047619","86.66666666666666","60.714285714285715","59.52380952380952","104.76190476190476","50.0","42.85714285714286","50.0","100.0"
"MARKSANS.NS","73.6547619047619","88.38095238095238","58.92857142857143","63.8095238095238","104.76190476190476","42.85714285714286","42.85714285714286","50.0","100.0"
"AUTOAXLES.NS","73.6547619047619","88.38095238095238","58.92857142857143","42.38095238095238","119.04761904761905","57.142857142857146","28.571428571428573","50.0","100.0"
"GREENPLY.NS","73.48809523809524","91.61904761904762","55.35714285714286","50.476190476190474","119.04761904761905","42.85714285714286","28.571428571428573","50.0","100.0"
"GOLDTECH.NS","73.46414161134973","84.10777040218666","62.82051282051282","48.73096446700507","107.69230769230771","38.46153846153846","50.0","100.0","0.0"
"SAKTHIFIN.NS","73.42857142857143","96.85714285714286","50.0","38.57142857142857","135.71428571428572","50.0","50.0","0.0","0.0"
"RELBANK.NS","73.24358974358975","91.48717948717949","55.0","48.71794871794872","120.0","60.0","50.0","0.0","0.0"
"BANCOINDI.NS","73.19047619047619","89.23809523809524","57.14285714285714","48.095238095238095","116.66666666666667","50.0","28.571428571428573","50.0","100.0"
"PRISMCEM.NS","73.14285714285714","89.14285714285714","57.142857142857146","44.285714285714285","119.04761904761905","35.714285714285715","42.85714285714286","50.0","100.0"
"SUMMITSEC.NS","73.1228710905481","86.63035756571158","59.61538461538461","51.94174757281554","109.7560975609756","38.46153846153846","50.0","50.0","100.0"
"PANCHSHEE.NS","73.11111111111111","112.88888888888889","33.333333333333336","72.22222222222223","140.0","66.66666666666667","0.0","0.0","0.0"
